Pigmentation_Level,Hydration_Level,Oily_Level,Recommended_Skincare_Product
High,High,Low,Brightening Serum
Low,High,Medium,Balancing Cream
High,High,Low,Brightening Serum
High,Low,Medium,Anti-Aging Serum
Low,High,Medium,Balancing Cream
Low,High,High,Oil-Free Gel
High,Low,Medium,Anti-Aging Serum
Medium,High,High,Oil-Free Gel
High,Low,Low,Moisturizing Cream
High,Medium,Low,Gentle Cleanser
High,High,Low,Brightening Serum
High,Medium,Low,Gentle Cleanser
Low,Low,High,Gentle Cleanser
High,High,Low,Brightening Serum
Medium,Low,Medium,Balancing Cream
Low,Medium,Medium,Balancing Cream
Medium,Low,Medium,Balancing Cream
Medium,High,High,Oil-Free Gel
Medium,High,Low,Gentle Cleanser
Medium,Medium,Low,Gentle Cleanser
Low,Low,Low,Moisturizing Cream
Low,High,High,Oil-Free Gel
Medium,Medium,Medium,Balancing Cream
Medium,High,Medium,Balancing Cream
Low,High,Low,Gentle Cleanser
Low,Low,Medium,Balancing Cream
Low,High,Medium,Balancing Cream
High,Low,High,Anti-Aging Serum
High,High,High,Oil-Free Gel
High,Medium,High,Gentle Cleanser
Medium,High,High,Oil-Free Gel
High,Low,Low,Moisturizing Cream
Medium,Low,High,Acne Treatment Gel
Medium,Medium,Medium,Balancing Cream
High,High,Low,Brightening Serum
Medium,High,Medium,Balancing Cream
High,Medium,Medium,Balancing Cream
High,High,Medium,Brightening Serum
Low,High,High,Oil-Free Gel
High,Low,High,Anti-Aging Serum
Low,High,Low,Gentle Cleanser
High,High,Low,Brightening Serum
High,Medium,High,Gentle Cleanser
Low,Medium,Medium,Balancing Cream
Low,Low,Low,Moisturizing Cream
High,High,High,Oil-Free Gel
Medium,High,High,Oil-Free Gel
Low,High,High,Oil-Free Gel
Medium,Low,Medium,Balancing Cream
Medium,Low,High,Acne Treatment Gel
Medium,Medium,High,Acne Treatment Gel
Low,Low,High,Gentle Cleanser
Medium,High,High,Oil-Free Gel
Low,High,Low,Gentle Cleanser
Medium,Low,Low,Moisturizing Cream
High,High,High,Oil-Free Gel
High,High,Medium,Brightening Serum
Low,Low,Low,Moisturizing Cream
High,Low,High,Anti-Aging Serum
High,High,Low,Brightening Serum
Medium,High,Low,Gentle Cleanser
Low,High,Medium,Balancing Cream
Medium,Medium,High,Acne Treatment Gel
Medium,Medium,High,Acne Treatment Gel
Medium,Medium,Medium,Balancing Cream
Medium,Low,Medium,Balancing Cream
Medium,Medium,High,Acne Treatment Gel
Medium,Low,High,Acne Treatment Gel
Medium,Low,Medium,Balancing Cream
Low,Medium,Low,Gentle Cleanser
High,Medium,Low,Gentle Cleanser
Medium,Medium,Medium,Balancing Cream
Medium,High,Low,Gentle Cleanser
Medium,Medium,Medium,Balancing Cream
Medium,High,Low,Gentle Cleanser
Medium,Low,Low,Moisturizing Cream
Medium,High,High,Oil-Free Gel
High,Medium,High,Gentle Cleanser
High,Low,Low,Moisturizing Cream
Medium,Low,Low,Moisturizing Cream
High,Low,High,Anti-Aging Serum
Low,High,High,Oil-Free Gel
Medium,Medium,High,Acne Treatment Gel
Low,Low,Medium,Balancing Cream
Low,Low,Low,Moisturizing Cream
Medium,Low,High,Acne Treatment Gel
High,High,Low,Brightening Serum
Low,High,Medium,Balancing Cream
Medium,Medium,Medium,Balancing Cream
Low,High,High,Oil-Free Gel
Low,Low,Medium,Balancing Cream
Low,Medium,Low,Gentle Cleanser
Low,Low,High,Gentle Cleanser
High,Low,Low,Moisturizing Cream
Low,High,Low,Gentle Cleanser
Low,Medium,Medium,Balancing Cream
Low,High,Medium,Balancing Cream
High,High,Medium,Brightening Serum
Low,Medium,Medium,Balancing Cream
Low,Low,Medium,Balancing Cream
